5144	兄
5145	充
5146	兆
5148	先
5149	光
514B	克
514D	免
5150	児
5151	兑
5154	兔
515A	党
515C	兜
5162	兢
5165	入
5168	全
516B	八
516C	公
516D	六
516E	兮
5170	兰
5171	共
5173	关
5174	兴
5175	兵
5176	其
5177	具
5178	典
5179	兹
517B	养
517C	兼
517D	兽
5185	内
5188	冈
5189	冉
518C	册
518D	再
5192	冒
5195	冕
5197	冗
5199	写
519B	军
519C	农
51A0	冠
51A4	冤
51A5	冥
51AC	冬
51B0	冰
51B2	冲
51B3	决
51B5	况
51B7	冷
51BB	冻
51C0	净
51C3	凃
51C6	准
51C9	凉
51CB	凋
51CC	凌
51CF	减
51D1	凑
51DB	凛
51DD	凝
51E0	几
51E1	凡
51E4	凤
51ED	凭
51EF	凯
51F0	凰
51F6	凶
51F8	凸
51F9	凹
51FA	出
51FB	击
51FD	函
5200	刀
5203	刃
5206	分
5207	切
520A	刊
5211	刑
5212	划
5217	列
5219	则
521A	刚
521B	创
521D	初
5220	删
5224	判
5228	刨
5229	利
522B	别
522E	刮
5230	到
5236	制
5237	刷
5238	券
5239	刹
523A	刺
523B	刻
5242	剂
524A	削
524D	前
5251	剑
5254	剔
5256	剖
5265	剥
5267	剧
5269	剩
526A	剪
526F	副
5272	割
5288	劈
529B	力
529D	劝
529E	办
529F	功
52A0	加
52A1	务
52A3	劣
52A8	动
52A9	助
52AA	努
52B1	励
52B2	劲
52B3	劳
52B9	効
52BF	势
52C3	勃
52C7	勇
52C9	勉
52CB	勋
52D2	勒
52D8	勘
52DF	募
52E4	勤
52FA	勺
52FE	勾
52FF	勿
5305	包
5306	匆
5308	匈
5315	匕
5316	化
5317	北
5319	匙
5320	匠
5323	匣
532A	匪
5339	匹
533A	区
533B	医
533F	匿
5341	十
5343	千
5347	升
5348	午
534A	半
534E	华
534F	协
5351	卑
5352	卒
5353	卓
5355	单
5356	卖
5357	南
535A	博
535C	卜
535F	卟
5360	占
5361	卡
5362	卢
5367	卧
536B	卫
536F	卯
5370	印
5371	危
5373	即
5374	却
5375	卵
5377	卷
5378	卸
537F	卿
5382	厂
5384	厄
5385	厅
5386	历
5389	厉
538B	压
538C	厌
5395	厕
5398	厘
539A	厚
539F	原
53A2	厢
53A5	厥
53A6	厦
53A8	厨
53BB	去
53BF	县
53C2	参
53C8	又
53C9	叉
53CA	及
53CB	友
53CC	双
53CD	反
53D1	发
53D4	叔
53D6	取
53D7	受
53D8	变
53D9	叙
53DB	叛
53E0	叠
53E3	口
53E4	古
53E5	句
53E6	另
53E9	叩
53EA	只
53EB	叫
53EC	召
53ED	叭
53EE	叮
53EF	可
53F0	台
53F2	史
53F3	右
